FIPS,State,County,LACCESS_POP10,LACCESS_POP15,PCH_LACCESS_POP_10_15,PCT_LACCESS_POP10,PCT_LACCESS_POP15,LACCESS_LOWI10,LACCESS_LOWI15,PCH_LACCESS_LOWI_10_15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15,PCH_LACCESS_HHNV_10_15,PCT_LACCESS_HHNV10,PCT_LACCESS_HHNV15,LACCESS_SNAP15,PCT_LACCESS_SNAP15,LACCESS_CHILD10,LACCESS_CHILD15,LACCESS_CHILD_10_15,PCT_LACCESS_CHILD10,PCT_LACCESS_CHILD15,LACCESS_SENIORS10,LACCESS_SENIORS15,PCH_LACCESS_SENIORS_10_15,PCT_LACCESS_SENIORS10,PCT_LACCESS_SENIORS15,LACCESS_WHITE15,PCT_LACCESS_WHITE15,LACCESS_BLACK15,PCT_LACCESS_BLACK15,LACCESS_HISP15,PCT_LACCESS_HISP15,LACCESS_NHASIAN15,PCT_LACCESS_NHASIAN15,LACCESS_NHNA15,PCT_LACCESS_NHNA15,LACCESS_NHPI15,PCT_LACCESS_NHPI15,LACCESS_MULTIR15,PCT_LACCESS_MULTIR15,Population2010,ACCESS2_CrudePrev,BPHIGH_CrudePrev,HIGHCHOL_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,STROKE_CrudePrev,Cluster,Priority_Category
17113,IL,McLean,46403.0,46497.0,0.201,27.365,27.42,13952.0,16607.0,19.031,8.227,9.793,1075.0,1508.0,40.305,1.65,2.315,1866.0,2.865,10860.0,10733.0,-1.0,6.404,6.329,3587.0,3688.0,2.801,2.115,2.175,38273.0,22.57,3951.0,2.33,2651.0,1.563,1977.0,1.166,113.0,0.066,21.0,0.012,2164.0,1.276,3087.5,10.65,27.75,32.0,8.6,12.25,32.5,2.7,2,High
17115,IL,Macon,33167.0,29816.0,-10.105,29.943,26.917,10006.0,8168.0,-18.371,9.033,7.374,1233.0,875.0,-29.007,2.687,1.907,1014.0,2.21,7685.0,6438.0,-16.0,6.938,5.812,5590.0,5420.0,-3.035,5.046,4.893,26056.0,23.523,2696.0,2.434,443.0,0.399,380.0,0.343,57.0,0.051,8.0,0.007,620.0,0.559,2443.0,12.1,37.0,36.3,11.3,14.5,37.4,3.7,1,Low
17143,IL,Peoria,55265.0,47563.0,-13.937,29.633,25.503,13012.0,12760.0,-1.936,6.977,6.842,1640.0,1605.0,-2.189,2.164,2.116,1661.0,2.191,13136.0,11326.0,-13.0,7.043,6.073,8383.0,7190.0,-14.234,4.495,3.855,37424.0,20.067,6057.0,3.247,1348.0,0.722,2333.0,1.251,96.0,0.051,16.0,0.008,1641.0,0.879,3144.0,13.149999999999999,35.849999999999994,33.45,10.6,14.6,38.25,3.45,2,Medium
17167,IL,Sangamon,62374.0,47889.0,-23.223,31.587,24.251,14003.0,10207.0,-27.104,7.091,5.169,1805.0,939.0,-47.979,2.175,1.131,1300.0,1.566,14490.0,11433.0,-21.0,7.338,5.789,8525.0,6665.0,-21.818,4.317,3.375,44222.0,22.395,1773.0,0.898,679.0,0.343,947.0,0.479,76.0,0.038,5.0,0.002,868.0,0.439,2695.0,12.2,34.4,34.8,10.5,14.8,36.1,3.3,2,Low
17197,IL,Will,242456.0,217704.0,-10.209,35.784,32.131,39036.0,38861.0,-0.447,5.761,5.735,2896.0,2817.0,-2.711,1.285,1.25,4759.0,2.113,71045.0,64041.0,-9.0,10.485,9.452,20951.0,18634.0,-11.056,3.092,2.75,166261.0,24.538,27277.0,4.026,27552.0,4.066,9461.0,1.396,573.0,0.085,44.0,0.006,14090.0,2.079,3292.5,13.7,31.4,31.15,9.649999999999999,12.6,34.3,2.55,2,Medium
17201,IL,Winnebago,72888.0,76323.0,4.713,24.685,25.849,18360.0,21680.0,18.086,6.218,7.342,1385.0,1586.0,14.498,1.199,1.372,3012.0,2.607,17671.0,18421.0,5.0,5.985,6.239,9337.0,9755.0,4.468,3.162,3.304,65637.0,22.229,4562.0,1.545,5998.0,2.031,1730.0,0.586,209.0,0.071,24.0,0.008,4164.0,1.41,2772.0,15.8,36.3,34.9,11.6,15.2,35.0,3.7,2,Medium
18003,IN,Allen,117582.0,107885.0,-8.247,33.091,30.362,35996.0,34972.0,-2.845,10.13,9.842,3643.0,3713.0,1.938,2.642,2.693,4530.0,3.286,31253.0,27858.0,-10.0,8.796,7.84,14166.0,13328.0,-5.919,3.987,3.751,88932.0,25.028,10555.0,2.97,5431.0,1.528,2941.0,0.827,310.0,0.087,73.0,0.02,5076.0,1.428,3159.0,12.5,33.15,33.0,10.4,15.75,33.6,3.2,1,Medium
18035,IN,Delaware,28539.0,30039.0,5.256,24.253,25.527,8182.0,9629.0,17.686,6.953,8.182,745.0,976.0,30.903,1.601,2.096,1546.0,3.323,5908.0,6159.0,5.0,5.02,5.234,4306.0,4598.0,6.804,3.659,3.907,26467.0,22.492,2509.0,2.132,472.0,0.401,311.0,0.264,66.0,0.055,17.0,0.014,672.0,0.57,2577.5,15.2,35.6,35.650000000000006,12.6,19.15,37.25,3.9,1,Low
18057,IN,Hamilton,95378.0,87493.0,-8.267,34.737,31.865,11505.0,10652.0,-7.409,4.19,3.879,784.0,1155.0,47.329,0.785,1.157,991.0,0.992,28677.0,26397.0,-7.0,10.444,9.614,8462.0,7793.0,-7.897,3.082,2.838,78881.0,28.729,2365.0,0.861,2607.0,0.949,3733.0,1.359,191.0,0.069,33.0,0.012,2293.0,0.835,5577.5,7.4,26.75,30.8,7.4,10.45,27.25,1.9,0,Medium
18089,IN,Lake,138589.0,147710.0,6.581,27.941,29.78,40258.0,50648.0,25.81,8.116,10.211,3289.0,4483.0,36.291,1.748,2.382,8274.0,4.397,35980.0,38066.0,6.0,7.254,7.674,16687.0,18914.0,13.348,3.364,3.813,95315.0,19.216,41551.0,8.377,16134.0,3.253,1801.0,0.363,411.0,0.083,38.0,0.008,8596.0,1.733,3027.0,20.05,49.7,36.2,21.7,17.3,48.7,6.4,1,Medium
18097,IN,Marion,226700.0,219010.0,-3.392,25.094,24.243,72819.0,79365.0,8.99,8.061,8.785,5629.0,6598.0,17.218,1.537,1.802,12331.0,3.367,59466.0,59592.0,1.0,6.583,6.596,24304.0,21655.0,-10.898,2.69,2.397,136522.0,15.112,61468.0,6.804,18023.0,1.995,4002.0,0.443,639.0,0.071,124.0,0.014,16258.0,1.8,3460.5,15.350000000000001,34.849999999999994,33.4,11.850000000000001,15.7,36.2,3.5,1,Low
18105,IN,Monroe,27359.0,20103.0,-26.521,19.829,14.57,8395.0,6172.0,-26.486,6.084,4.473,1078.0,699.0,-35.204,1.964,1.273,673.0,1.225,5505.0,4304.0,-21.0,3.99,3.119,2497.0,1908.0,-23.621,1.81,1.382,18239.0,13.219,465.0,0.337,532.0,0.385,712.0,0.516,49.0,0.035,2.0,0.001,640.0,0.463,4518.0,11.850000000000001,24.4,27.15,7.300000000000001,15.75,25.3,2.3499999999999996,0,Medium
18141,IN,St. Joseph,90150.0,83409.0,-7.477,33.773,31.247,24491.0,26354.0,7.608,9.175,9.873,1598.0,1730.0,8.276,1.55,1.678,3127.0,3.034,21848.0,20004.0,-8.0,8.185,7.494,12756.0,11898.0,-6.731,4.779,4.457,70538.0,26.425,7002.0,2.623,4649.0,1.741,1547.0,0.579,330.0,0.123,33.0,0.012,3962.0,1.484,2217.0,16.15,36.2,33.2,12.8,17.55,38.6,4.05,1,Medium
18157,IN,Tippecanoe,48238.0,32254.0,-33.136,27.918,18.667,17119.0,11512.0,-32.753,9.908,6.663,932.0,797.0,-14.51,1.422,1.215,1020.0,1.555,8948.0,8004.0,-10.0,5.178,4.632,2864.0,2723.0,-4.944,1.657,1.576,27483.0,15.906,991.0,0.574,2209.0,1.278,2054.0,1.189,77.0,0.044,12.0,0.007,1639.0,0.948,3439.0,13.6,31.3,32.8,10.4,16.8,35.1,3.2,2,Medium
18163,IN,Vanderburgh,35572.0,35886.0,0.882,19.794,19.969,6706.0,7216.0,7.602,3.731,4.015,447.0,436.0,-2.445,0.6,0.585,715.0,0.959,7906.0,8022.0,2.0,4.399,4.464,5120.0,5177.0,1.12,2.849,2.881,33734.0,18.772,990.0,0.551,503.0,0.28,474.0,0.264,51.0,0.028,13.0,0.007,626.0,0.348,2575.0,13.7,37.6,36.1,11.8,17.5,35.0,3.9,2,Low
19013,IA,Black Hawk,31222.0,38073.0,21.94,23.817,29.043,11768.0,14314.0,21.634,8.977,10.919,1160.0,1279.0,10.337,2.209,2.438,1998.0,3.807,7031.0,7698.0,10.0,5.363,5.872,4029.0,4188.0,3.947,3.073,3.195,32349.0,24.676,3686.0,2.811,1478.0,1.127,405.0,0.309,88.0,0.067,47.0,0.036,1500.0,1.144,2601.0,11.55,31.95,36.25,10.0,13.05,34.25,3.35,2,High
19103,IA,Johnson,21905.0,20183.0,-7.862,16.736,15.42,4867.0,4370.0,-10.2,3.718,3.339,774.0,891.0,15.07,1.467,1.688,710.0,1.346,5363.0,5053.0,-5.0,4.097,3.86,2336.0,2144.0,-8.201,1.784,1.638,17073.0,13.044,916.0,0.7,1256.0,0.959,1123.0,0.858,44.0,0.034,4.0,0.002,1025.0,0.783,3790.0,8.4,24.6,26.8,6.9,11.5,30.1,2.1,0,Medium
19113,IA,Linn,54383.0,52423.0,-3.604,25.746,24.818,11232.0,9732.0,-13.354,5.317,4.607,1424.0,1321.0,-7.243,1.653,1.533,1852.0,2.15,13702.0,13533.0,-1.0,6.487,6.407,6255.0,5871.0,-6.139,2.961,2.779,48363.0,22.896,1471.0,0.696,1106.0,0.523,1100.0,0.52,150.0,0.071,24.0,0.011,1318.0,0.624,3475.0,8.9,28.1,33.95,8.75,11.45,34.0,2.7,2,Low
19153,IA,Polk,87818.0,64532.0,-26.517,20.392,14.985,26485.0,15594.0,-41.122,6.15,3.621,2571.0,1506.0,-41.432,1.51,0.885,3165.0,1.86,23522.0,16616.0,-29.0,5.462,3.858,9045.0,6467.0,-28.502,2.1,1.502,57923.0,13.45,1917.0,0.445,3963.0,0.92,1838.0,0.427,192.0,0.044,20.0,0.005,2644.0,0.614,3446.5,12.1,30.55,33.7,9.4,13.399999999999999,38.75,2.9,2,Low
19163,IA,Scott,19209.0,18171.0,-5.408,11.626,10.997,4821.0,4666.0,-3.201,2.917,2.824,655.0,602.0,-8.074,0.981,0.901,589.0,0.881,4761.0,4543.0,-4.0,2.881,2.75,2560.0,2452.0,-4.245,1.549,1.483,16130.0,9.762,966.0,0.585,755.0,0.457,325.0,0.197,56.0,0.034,9.0,0.005,686.0,0.415,3200.0,10.6,31.8,34.9,10.0,12.9,38.0,3.2,2,Low
19193,IA,Woodbury,32232.0,26351.0,-18.245,31.546,25.79,12545.0,9816.0,-21.755,12.277,9.606,1010.0,663.0,-34.36,2.586,1.697,1517.0,3.883,8221.0,6560.0,-20.0,8.045,6.42,4626.0,3655.0,-20.977,4.527,3.577,23617.0,23.115,439.0,0.429,2356.0,2.305,285.0,0.279,346.0,0.338,11.0,0.01,1655.0,1.62,3473.0,11.6,29.5,33.849999999999994,9.55,13.5,34.9,3.1500000000000004,2,High
20045,KS,Douglas,14767.0,15122.0,2.41,13.324,13.645,4592.0,4954.0,7.876,4.143,4.469,358.0,447.0,24.706,0.822,1.024,494.0,1.132,3608.0,3697.0,3.0,3.255,3.335,1276.0,1334.0,4.556,1.151,1.203,12335.0,11.129,890.0,0.803,873.0,0.788,444.0,0.4,433.0,0.39,15.0,0.013,1008.0,0.909,5335.0,14.1,24.75,27.25,6.75,12.95,26.75,2.0,0,Medium
